Object,Radius (km),Average Distance from Earth (km),Stellar Parallax (arcsec)
ISS,0.11,350,
Moon,1737.1,384400,
Mercury,2440,91691000,
Venus,6052,41400000,
Mars,3390,78340000,
Jupiter,69911,628730000,
Saturn,58232,1275000000,
Uranus,25362,2723950000,
Neptune,24622,4351400000,
Andromeda,1.04E+18,3.00E+19,
LMC,6.00E+21,1.50E+18,
SMC,3.31E+16,1.89E+18,
Sirius,1.19E+06,8.15E+13,
Sun,6.96E+05,1.50E+08,
Ceres,473,1.10E+08,
Vesta,525,1.50E+08,
Betelgeuse,6.17E+08,6.00E+15,
M104,4.50E+17,2.70E+20,
Sag_A_accretion_disk,4.80E+07,2.40E+17,
exoplanet,7.50E+04,1.50E+16,
exoplanet_lens,2.25E+07,1.50E+16,
quasar,2.25E+13,1.50E+22,
Gliese 832,,1.5218E+14,0.202770283
Alpha Centauri,,4.01345E+13,0.768855048
ULAS J0744+25,,7.33228E+18,4.20846E-06
ULAS J0015+01,,8.5149E+18,3.62396E-06
Deneb,,2.47497E+16,0.001246787
Polaris,,3.54788E+15,0.008697493
Vega,,2.36525E+14,0.1304624
Sirius,,8.13646E+13,0.379251163
Betelgeuse,,6.08342E+15,0.005072411
Castor,,4.82511E+14,0.063952157
Pollux,,3.19593E+14,0.09655299
Bellatrix,,2.36525E+15,0.01304624
