Object	Radius (km)	Average Distance from Earth (km)	Stellar Parallax (arcsec)	
ISS	0.11	350		
Moon	1737.1	384400		
Mercury	2440	91691000		
Venus	6052	41400000		
Mars	3390	78340000		
Jupiter	69911	628730000		
Saturn	58232	1275000000		
Uranus	25362	2723950000		
Neptune	24622	4351400000		
SiriusRadius	1.19E+06	8.15E+13		
Sun	6.96E+05	1.50E+08		
Ceres	473	1.10E+08		
Vesta	525	1.50E+08		
Betelgeuse	6.17E+08	6.00E+15		
M104	4.50E+17	2.70E+20		
Sag_A_accretion_disk	4.80E+07	2.40E+17		
exoplanet	7.50E+04	1.50E+16		
exoplanet_lens	2.25E+07	1.50E+16		
quasar	2.25E+13	1.50E+22		
Gliese 832	0.00E+00	1.52E+14	0.202770283	3.09E+13
Alpha Centauri	0.00E+00	4.01E+13	0.768855048	3.09E+13
ULAS J0744+25	0.00E+00	7.33E+18	4.21E-06	3.09E+13
ULAS J0015+01	0.00E+00	8.51E+18	3.62E-06	3.09E+13
Deneb	0.00E+00	2.47E+16	0.001246787	3.09E+13
Polaris	0.00E+00	3.55E+15	0.008697493	3.09E+13
Vega	0.00E+00	2.37E+14	0.1304624	3.09E+13
Sirius	0.00E+00	8.14E+13	0.379251163	3.09E+13
Betelgeuse	0.00E+00	6.08E+15	0.005072411	3.09E+13
Castor	0.00E+00	4.83E+14	0.063952157	3.09E+13
Pollux	0.00E+00	3.20E+14	0.09655299	3.09E+13
Bellatrix	0.00E+00	2.37E+15	0.01304624	3.09E+13
MACS0647-JD	3.00E+15	3.00E+23		
NGC1365	1.00E+18	5.60E+20		
M33	3.00E+17	2.70E+19		
Andromeda	1.04E+18	3.00E+19		
LMC	6.00E+16	1.50E+18		
SMC	3.31E+16	1.89E+18		
NGC151	4.60E+17	1.65E+21		
LAE	3.00E+17	1.00E+23		
