#Wavelength     Normalized Flux
#[Angstrom]       [Counts]
3650.00           0.610363
3652.00           0.571731
3654.00           0.539539
3656.00           0.427267
3658.00           0.376161
3660.00           0.399098
3662.00           0.495676
3664.00           0.546782
3666.00           0.490043
3668.00           0.451411
3670.00           0.357650
3672.00           0.307752
3674.00           0.263889
3676.00           0.293667
3678.00           0.385014
3680.00           0.464691
3682.00           0.492457
3684.00           0.457850
3686.00           0.389441
3688.00           0.380588
3690.00           0.437729
3692.00           0.544368
3694.00           0.582999
3696.00           0.540746
3698.00           0.507346
3700.00           0.514187
3702.00           0.519418
3704.00           0.490847
3706.00           0.494872
3708.00           0.549197
3710.00           0.644970
3712.00           0.692856
3714.00           0.737121
3716.00           0.838528
3718.00           1.067498
3720.00           1.423227
3722.00           2.042534
3724.00           2.839302
3726.00           3.227224
3728.00           2.817572
3730.00           1.846159
3732.00           1.009954
3734.00           0.645775
3736.00           0.552818
3738.00           0.537527
3740.00           0.553221
3742.00           0.560062
3744.00           0.582596
3746.00           0.543161
3748.00           0.548392
3750.00           0.545172
3752.00           0.569317
3754.00           0.552818
3756.00           0.570927
3758.00           0.591449
3760.00           0.605534
3762.00           0.563683
3764.00           0.556842
3766.00           0.531491
3768.00           0.551209
3770.00           0.536722
3772.00           0.559257
3774.00           0.600705
3776.00           0.626057
3778.00           0.625252
3780.00           0.615996
3782.00           0.582194
3784.00           0.570524
3786.00           0.547587
3788.00           0.539136
3790.00           0.514590
3792.00           0.537124
3794.00           0.589035
3796.00           0.588230
3798.00           0.587023
3800.00           0.576560
3802.00           0.625654
3804.00           0.618008
3806.00           0.616801
3808.00           0.611167
3810.00           0.604326
3812.00           0.615192
3814.00           0.601510
3816.00           0.598290
3818.00           0.543965
3820.00           0.549599
3822.00           0.562476
3824.00           0.578975
3826.00           0.574951
3828.00           0.574146
3830.00           0.585413
3832.00           0.577365
3834.00           0.594266
3836.00           0.587023
3838.00           0.597888
3840.00           0.628471
3842.00           0.671126
3844.00           0.694466
3846.00           0.686015
3848.00           0.669517
3850.00           0.649799
3852.00           0.652616
3854.00           0.665493
3856.00           0.702917
3858.00           0.718208
3860.00           0.786215
3862.00           0.937521
3864.00           1.152809
3866.00           1.311358
3868.00           1.215182
3870.00           0.931082
3872.00           0.642555
3874.00           0.559659
3876.00           0.585413
3878.00           0.606339
3880.00           0.596278
3882.00           0.590645
3884.00           0.681187
3886.00           0.735512
3888.00           0.733902
3890.00           0.620020
3892.00           0.548794
3894.00           0.549599
3896.00           0.576963
3898.00           0.604326
3900.00           0.618411
3902.00           0.666700
3904.00           0.694466
3906.00           0.690844
3908.00           0.677967
3910.00           0.679979
3912.00           0.668310
3914.00           0.661469
3916.00           0.651811
3918.00           0.667907
3920.00           0.666700
3922.00           0.674748
3924.00           0.656640
3926.00           0.609558
3928.00           0.564890
3930.00           0.554830
3932.00           0.587023
3934.00           0.597486
3936.00           0.630483
3938.00           0.641348
3940.00           0.641348
3942.00           0.663481
3944.00           0.681991
3946.00           0.685613
3948.00           0.659054
3950.00           0.629678
3952.00           0.662676
3954.00           0.664285
3956.00           0.675553
3958.00           0.680784
3960.00           0.704124
3962.00           0.755632
3964.00           0.838126
3966.00           0.910157
3968.00           0.903316
3970.00           0.786617
3972.00           0.671931
3974.00           0.619216
3976.00           0.639336
3978.00           0.651811
3980.00           0.673138
3982.00           0.700905
3984.00           0.724647
