#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
           3498.0066           0.5138928                       |         8.57038003e+14      2.09745706e-15                    
           3502.0542           0.5041561                       |         8.56047456e+14      2.06248144e-15                    
           3506.1017           0.5498511                       |         8.55059221e+14      2.25462030e-15                    
           3510.1493           0.6106162                       |         8.54073241e+14      2.50956701e-15                    
           3514.1969           0.5450054                       |         8.53089532e+14      2.24508239e-15                    
           3518.2445           0.6370693                       |         8.52108087e+14      2.63037706e-15                    
            3522.292           0.5674027                       |         8.51128921e+14      2.34812605e-15                    
           3526.3396           0.5807122                       |         8.50151979e+14      2.40873218e-15                    
           3530.3872           0.5072638                       |         8.49177277e+14      2.10890903e-15                    
           3534.4348           0.5872175                       |         8.48204808e+14      2.44691135e-15                    
           3538.4823           0.5437121                       |         8.47234587e+14      2.27081811e-15                    
           3542.5299           0.5244429                       |         8.46266559e+14      2.19535397e-15                    
           3546.5775           0.5331744                       |         8.45300741e+14      2.23700778e-15                    
           3550.6251           0.5871322                       |         8.44337125e+14      2.46902128e-15                    
           3554.6726           0.5562372                       |         8.43375727e+14      2.34443685e-15                    
           3558.7202           0.5172604                       |         8.42416493e+14      2.18512464e-15                    
           3562.7678           0.5819176                       |         8.41459438e+14      2.46385886e-15                    
           3566.8154           0.5008347                       |         8.40504555e+14      2.12537209e-15                    
           3570.8629           0.5632493                       |         8.39551860e+14      2.39566622e-15                    
           3574.9105           0.5060385                       |         8.38601299e+14      2.15721386e-15                    
           3578.9581           0.5118284                       |         8.37652888e+14      2.18683947e-15                    
           3583.0057           0.5467223                       |         8.36706620e+14      2.34121384e-15                    
           3587.0532           0.5286474                       |         8.35762511e+14      2.26892966e-15                    
