#Wavelength     Normalized Flux
#[Angstrom]       [Counts]
3650.00           0.502529
3652.00           0.550037
3654.00           0.585420
3656.00           0.577717
3658.00           0.557541
3660.00           0.520518
3662.00           0.523749
3664.00           0.552820
3666.00           0.582339
3668.00           0.579904
3670.00           0.542235
3672.00           0.528321
3674.00           0.543726
3676.00           0.563504
3678.00           0.559032
3680.00           0.543428
3682.00           0.541539
3684.00           0.535228
3686.00           0.538110
3688.00           0.543428
3690.00           0.562809
3692.00           0.559529
3694.00           0.569120
3696.00           0.570611
3698.00           0.561020
3700.00           0.557641
3702.00           0.545913
3704.00           0.561914
3706.00           0.585817
3708.00           0.585321
3710.00           0.582041
3712.00           0.571108
3714.00           0.587905
3716.00           0.704936
3718.00           0.977711
3720.00           1.459304
3722.00           1.898905
3724.00           2.015539
3726.00           1.706238
3728.00           1.176938
3730.00           0.756818
3732.00           0.578314
3734.00           0.562709
3736.00           0.596502
3738.00           0.592924
3740.00           0.564647
3742.00           0.537912
3744.00           0.543726
3746.00           0.571108
3748.00           0.598838
3750.00           0.620206
3752.00           0.638444
3754.00           0.642022
3756.00           0.642718
3758.00           0.642022
3760.00           0.633227
3762.00           0.614144
3764.00           0.592427
3766.00           0.582438
3768.00           0.615833
3770.00           0.653502
3772.00           0.710800
3774.00           0.740816
3776.00           0.760644
3778.00           0.773316
3780.00           0.774012
3782.00           0.777043
3784.00           0.750804
3786.00           0.714826
3788.00           0.660807
3790.00           0.604702
3792.00           0.574537
3794.00           0.583233
3796.00           0.614839
3798.00           0.653403
3800.00           0.692214
3802.00           0.738629
3804.00           0.772124
3806.00           0.777043
3808.00           0.766011
3810.00           0.736343
3812.00           0.727746
3814.00           0.718900
3816.00           0.713633
3818.00           0.692016
3820.00           0.658521
3822.00           0.620107
3824.00           0.603410
3826.00           0.595210
3828.00           0.586613
3830.00           0.551130
3832.00           0.531004
3834.00           0.540049
3836.00           0.589346
3838.00           0.652210
3840.00           0.717410
3842.00           0.767800
3844.00           0.800947
3846.00           0.815010
3848.00           0.807208
3850.00           0.793741
3852.00           0.789914
3854.00           0.794238
3856.00           0.812426
3858.00           0.833845
3860.00           0.872010
3862.00           0.877825
3864.00           0.863115
3866.00           0.826639
3868.00           0.800847
3870.00           0.787032
3872.00           0.771825
3874.00           0.745537
3876.00           0.705334
3878.00           0.673330
3880.00           0.647141
3882.00           0.641724
3884.00           0.649924
3886.00           0.651713
3888.00           0.642122
3890.00           0.646048
3892.00           0.677703
3894.00           0.720043
3896.00           0.746730
3898.00           0.750009
3900.00           0.759004
3902.00           0.776547
3904.00           0.824601
3906.00           0.859040
3908.00           0.887316
3910.00           0.892335
3912.00           0.882546
3914.00           0.857400
3916.00           0.853325
3918.00           0.845324
3920.00           0.808401
3922.00           0.749115
3924.00           0.681729
3926.00           0.614740
3928.00           0.545018
3930.00           0.509536
3932.00           0.544919
3934.00           0.615634
3936.00           0.703545
3938.00           0.761042
3940.00           0.783703
3942.00           0.800201
3944.00           0.814712
3946.00           0.825844
3948.00           0.829322
3950.00           0.823806
3952.00           0.810438
3954.00           0.791505
3956.00           0.741114
3958.00           0.681629
3960.00           0.586016
3962.00           0.520121
3964.00           0.491348
3966.00           0.511623
3968.00           0.541440
3970.00           0.587607
3972.00           0.646644
3974.00           0.719546
3976.00           0.776348
3978.00           0.818042
3980.00           0.846517
3982.00           0.878123
3984.00           0.905207
3986.00           0.912810
3988.00           0.924836
3990.00           0.921208
3992.00           0.934328
3994.00           0.944714
3996.00           0.957635
3998.00           0.949932
4000.00           0.932439
4002.00           0.921308
4004.00           0.932638
4006.00           0.958032
4008.00           0.967623
4010.00           0.990234
4012.00           0.968518
4014.00           0.978506
4016.00           0.987949
4018.00           0.999925
4020.00           0.998037
4022.00           0.984122
4024.00           0.982631
4026.00           0.968915
4028.00           0.934427
4030.00           0.943024
4032.00           0.966928
4034.00           0.986806
4036.00           0.961014
4038.00           0.927321
4040.00           0.924240
4042.00           0.954404
4044.00           0.992322
4046.00           1.006137
4048.00           1.004547
4050.00           0.977314
4052.00           0.957535
4054.00           0.949336
4056.00           0.948938
4058.00           0.945111
4060.00           0.930501
4062.00           0.934527
4064.00           0.947745
4066.00           0.958628
4068.00           0.950429
4070.00           0.950628
4072.00           0.935918
4074.00           0.921010
4076.00           0.918227
4078.00           0.931147
4080.00           0.957038
4082.00           0.960318
4084.00           0.956939
4086.00           0.933731
4088.00           0.901827
4090.00           0.867438
4092.00           0.813917
4094.00           0.795828
4096.00           0.825744
4098.00           0.845424
4100.00           0.825943
4102.00           0.777043
4104.00           0.788722
4106.00           0.824303
4108.00           0.864606
4110.00           0.908238
4112.00           0.933831
4114.00           0.941931
4116.00           0.937707
4118.00           0.941335
4120.00           0.945509
4122.00           0.945111
4124.00           0.927619
4126.00           0.918624
4128.00           0.918227
4130.00           0.936415
4132.00           0.962704
4134.00           0.984519
4136.00           0.987302
4138.00           0.960219
4140.00           0.933135
4142.00           0.948640
4144.00           0.971748
4146.00           0.982631
4148.00           0.969909
4150.00           0.964443
4152.00           0.971400
4154.00           0.999726
4156.00           1.025319
4158.00           1.032028
4160.00           1.023331
4162.00           0.989240
4164.00           0.982035
4166.00           0.966530
4168.00           0.972841
4170.00           0.969711
4172.00           0.955547
4174.00           0.961710
4176.00           0.983029
4178.00           1.007727
4180.00           1.003702
4182.00           0.980544
4184.00           0.980445
4186.00           0.994608
4188.00           1.017616
4190.00           1.019107
4192.00           1.012647
4194.00           0.985116
4196.00           0.959225
4198.00           0.950429
4200.00           0.964940
4202.00           0.991924
4204.00           1.020101
4206.00           1.043209
4208.00           1.048129
4210.00           1.031928
4212.00           1.001714
4214.00           0.990831
4216.00           1.003205
4218.00           1.008622
4220.00           0.984818
4222.00           0.948342
4224.00           0.951522
4226.00           0.982035
4228.00           1.005441
4230.00           0.997738
4232.00           0.982432
4234.00           0.979003
4236.00           0.989638
4238.00           1.002907
4240.00           1.018809
4242.00           1.020747
4244.00           0.998832
4246.00           0.974829
4248.00           0.961809
4250.00           0.973338
4252.00           0.988545
4254.00           0.989340
4256.00           0.982929
4258.00           0.978308
4260.00           0.991825
4262.00           1.013740
4264.00           0.994011
4266.00           0.954703
4268.00           0.922301
4270.00           0.930601
4272.00           0.975724
4274.00           0.991825
4276.00           0.995502
4278.00           0.977612
4280.00           0.978208
4282.00           0.980942
4284.00           0.952118
4286.00           0.929607
4288.00           0.939347
4290.00           0.965139
4292.00           0.955001
4294.00           0.894224
4296.00           0.845821
4298.00           0.827136
4300.00           0.817147
4302.00           0.806910
4304.00           0.814414
4306.00           0.851536
4308.00           0.887316
4310.00           0.923941
4312.00           0.982234
4314.00           1.022039
4316.00           1.025120
4318.00           0.973438
4320.00           0.918624
4322.00           0.885925
4324.00           0.875837
4326.00           0.885627
4328.00           0.897404
4330.00           0.879912
4332.00           0.902424
4334.00           0.990036
4336.00           1.094743
4338.00           1.088431
4340.00           0.985016
4342.00           0.883341
4344.00           0.860730
4346.00           0.852431
4348.00           0.843138
4350.00           0.855909
4352.00           0.927023
4354.00           1.015629
4356.00           1.073622
4358.00           1.079337
4360.00           1.070740
4362.00           1.051409
4364.00           1.018710
4366.00           0.987949
4368.00           0.971847
4370.00           0.975624
4372.00           0.987402
4374.00           1.013839
4376.00           1.011603
4378.00           0.964145
4380.00           0.914847
4382.00           0.912909
4384.00           0.945410
4386.00           0.962803
4388.00           0.967325
4390.00           0.990334
4392.00           1.013740
4394.00           1.015330
4396.00           0.998732
4398.00           0.990831
4400.00           0.982432
4402.00           0.979749
4404.00           0.983724
4406.00           1.009715
4408.00           1.026611
4410.00           1.005739
4412.00           0.993514
4414.00           1.011305
4416.00           1.034214
4418.00           1.038339
4420.00           1.028649
4422.00           1.024623
4424.00           1.029543
4426.00           1.025816
4428.00           1.019107
4430.00           1.013343
4432.00           1.014038
4434.00           1.023331
4436.00           1.017815
4438.00           1.004845
4440.00           1.009317
4442.00           1.028947
4444.00           1.054440
4446.00           1.070144
4448.00           1.047831
4450.00           1.008721
4452.00           0.989141
4454.00           0.981737
4456.00           0.985911
4458.00           0.994806
4460.00           1.019505
4462.00           1.035805
4464.00           1.031928
4466.00           1.042017
4468.00           1.061845
4470.00           1.077548
4472.00           1.080828
4474.00           1.072529
4476.00           1.043309
4478.00           1.021940
4480.00           1.031730
4482.00           1.054142
4484.00           1.068106
4486.00           1.056329
4488.00           1.054440
4490.00           1.039731
4492.00           1.040029
4494.00           1.059608
4496.00           1.087736
4498.00           1.104433
4500.00           1.108806
4502.00           1.119242
4504.00           1.126100
4506.00           1.113627
4508.00           1.085847
4510.00           1.068007
4512.00           1.069548
4514.00           1.086742
4516.00           1.081623
4518.00           1.061248
4520.00           1.041718
4522.00           1.030935
4524.00           1.019803
4526.00           1.002310
4528.00           0.981438
4530.00           0.989638
4532.00           1.019704
4534.00           1.057024
4536.00           1.071237
4538.00           1.064926
4540.00           1.061050
4542.00           1.059608
4544.00           1.050017
4546.00           1.034115
4548.00           1.027903
4550.00           1.031432
4552.00           1.044302
4554.00           1.062044
4556.00           1.069945
4558.00           1.069349
4560.00           1.067808
4562.00           1.081623
4564.00           1.090519
4566.00           1.087736
4568.00           1.079238
4570.00           1.085947
4572.00           1.087835
4574.00           1.085947
4576.00           1.072529
4578.00           1.056428
4580.00           1.041321
4582.00           1.043507
4584.00           1.050812
4586.00           1.056527
4588.00           1.047334
4590.00           1.042215
4592.00           1.046837
4594.00           1.057024
4596.00           1.066914
4598.00           1.073125
4600.00           1.076604
4602.00           1.081723
4604.00           1.096731
4606.00           1.108210
4608.00           1.112235
4610.00           1.097923
4612.00           1.080629
4614.00           1.068007
4616.00           1.065025
4618.00           1.076306
4620.00           1.086046
4622.00           1.091115
4624.00           1.090320
4626.00           1.085748
4628.00           1.084605
4630.00           1.078542
4632.00           1.073722
4634.00           1.077002
4636.00           1.092109
4638.00           1.091910
4640.00           1.080331
4642.00           1.054440
4644.00           1.041619
4646.00           1.037544
4648.00           1.035606
4650.00           1.040228
4652.00           1.053844
4654.00           1.087338
4656.00           1.107017
4658.00           1.098520
4660.00           1.067212
4662.00           1.039830
4664.00           1.030040
4666.00           1.034016
4668.00           1.061745
4670.00           1.084506
4672.00           1.085102
4674.00           1.073622
4676.00           1.058217
4678.00           1.065622
4680.00           1.076902
4682.00           1.090817
4684.00           1.091513
4686.00           1.079834
4688.00           1.081822
4690.00           1.094146
4692.00           1.106520
4694.00           1.090320
4696.00           1.057422
4698.00           1.025021
4700.00           1.022337
4702.00           1.029543
4704.00           1.039432
4706.00           1.053645
4708.00           1.058813
4710.00           1.066914
4712.00           1.067411
4714.00           1.087338
4716.00           1.102942
4718.00           1.103837
4720.00           1.088829
4722.00           1.073424
4724.00           1.044302
4726.00           1.031332
4728.00           1.020946
4730.00           1.041023
4732.00           1.061745
4734.00           1.070044
4736.00           1.067908
4738.00           1.057323
4740.00           1.057819
4742.00           1.054241
4744.00           1.050117
4746.00           1.049322
4748.00           1.054241
4750.00           1.062938
4752.00           1.065025
4754.00           1.069349
4756.00           1.062938
4758.00           1.052701
4760.00           1.034016
4762.00           1.028102
4764.00           1.032028
4766.00           1.045346
4768.00           1.055037
4770.00           1.067908
4772.00           1.076107
4774.00           1.082418
4776.00           1.081723
4778.00           1.067212
4780.00           1.047731
4782.00           1.032922
4784.00           1.030537
4786.00           1.040029
4788.00           1.048228
4790.00           1.073324
4792.00           1.086046
4794.00           1.087438
4796.00           1.072032
4798.00           1.061348
4800.00           1.062739
4802.00           1.056229
4804.00           1.048527
4806.00           1.039134
4808.00           1.044402
4810.00           1.049620
4812.00           1.058813
4814.00           1.056329
4816.00           1.065423
4818.00           1.054142
4820.00           1.053049
4822.00           1.044849
4824.00           1.046539
4826.00           1.045545
4828.00           1.040724
4830.00           1.037445
4832.00           1.038836
4834.00           1.048527
4836.00           1.038240
4838.00           1.019505
4840.00           0.994806
4842.00           0.985414
4844.00           0.985414
4846.00           0.969015
4848.00           0.947248
4850.00           0.916736
4852.00           0.964045
4854.00           1.221713
4856.00           1.606749
4858.00           1.798223
4860.00           1.595617
4862.00           1.210432
4864.00           0.951423
4866.00           0.881701
4868.00           0.884732
4870.00           0.905604
4872.00           0.939546
4874.00           0.958927
4876.00           0.972344
4878.00           0.977910
4880.00           0.977612
4882.00           0.977016
4884.00           0.975227
4886.00           0.977214
4888.00           0.986309
4890.00           1.017915
4892.00           1.046539
4894.00           1.053148
4896.00           1.040526
4898.00           1.027506
4900.00           1.033121
4902.00           1.041221
4904.00           1.039333
4906.00           1.024226
4908.00           1.011405
4910.00           1.013740
4912.00           1.013442
4914.00           0.998732
4916.00           0.976121
4918.00           0.961610
4920.00           0.983426
4922.00           1.012647
4924.00           1.041221
4926.00           1.038140
4928.00           1.028947
4930.00           1.021045
4932.00           1.004248
4934.00           0.992620
4936.00           0.993415
4938.00           1.008622
4940.00           1.031531
4942.00           1.039134
4944.00           1.048228
4946.00           1.052105
4948.00           1.055037
4950.00           1.076505
4952.00           1.121528
4954.00           1.175249
4956.00           1.199003
4958.00           1.165906
4960.00           1.100408
4962.00           1.039731
4964.00           1.017716
4966.00           1.013839
4968.00           1.023033
4970.00           1.028102
4972.00           1.027108
4974.00           1.015132
4976.00           0.992819
4978.00           0.979749
4980.00           0.968021
4982.00           0.975326
4984.00           0.993812
4986.00           1.004050
4988.00           1.007131
4990.00           1.009914
4992.00           1.018113
4994.00           1.010411
4996.00           1.005739
4998.00           1.093749
5000.00           1.290441
5002.00           1.510838
5004.00           1.573404
5006.00           1.435501
5008.00           1.197214
5010.00           1.025518
5012.00           0.954007
5014.00           0.948143
5016.00           0.951224
5018.00           0.955001
5020.00           0.956442
5022.00           0.959821
5024.00           0.977910
5026.00           1.000919
5028.00           1.007230
5030.00           1.006137
5032.00           0.993713
5034.00           0.972245
5036.00           0.946304
5038.00           0.936912
5040.00           0.956740
5042.00           0.977711
5044.00           0.983327
5046.00           0.975525
5048.00           0.974133
5050.00           0.984221
5052.00           1.008323
5054.00           1.022139
5056.00           1.026114
5058.00           1.013044
5060.00           0.995800
5062.00           0.979401
5064.00           0.958827
5066.00           0.953411
5068.00           0.953411
5070.00           0.960616
5072.00           0.956740
5074.00           0.941931
5076.00           0.934129
5078.00           0.938204
5080.00           0.956144
5082.00           0.973040
5084.00           0.984023
5086.00           0.993812
5088.00           0.993117
5090.00           0.986209
5092.00           0.965934
5094.00           0.947646
5096.00           0.936713
5098.00           0.947646
5100.00           0.960716
5102.00           0.956541
5104.00           0.945708
5106.00           0.943919
5108.00           0.964045
5110.00           0.979500
5112.00           0.987203
5114.00           0.989936
5116.00           0.981637
5118.00           0.964840
5120.00           0.942329
5122.00           0.948242
5124.00           0.974432
5126.00           0.992520
5128.00           0.982631
5130.00           0.978009
5132.00           0.981836
5134.00           0.981240
5136.00           0.958728
5138.00           0.942527
5140.00           0.947149
5142.00           0.961213
5144.00           0.977910
5146.00           0.981140
5148.00           0.984023
5150.00           1.000819
5152.00           1.025617
5154.00           1.035010
5156.00           1.007429
5158.00           0.971201
5160.00           0.941832
5162.00           0.919121
5164.00           0.897206
5166.00           0.877526
5168.00           0.865749
5170.00           0.872408
5172.00           0.899541
5174.00           0.928613
5176.00           0.936514
5178.00           0.914748
5180.00           0.886223
5182.00           0.879017
5184.00           0.893826
5186.00           0.912909
5188.00           0.924438
5190.00           0.946503
5192.00           0.981935
5194.00           1.007727
5196.00           1.006932
5198.00           0.996049
5200.00           0.989141
5202.00           0.969810
5204.00           0.948938
5206.00           0.941335
5208.00           0.958330
5210.00           0.973139
5212.00           0.985812
5214.00           0.999826
5216.00           1.011504
5218.00           1.017915
5220.00           1.008920
5222.00           0.987402
5224.00           0.958231
5226.00           0.943422
5228.00           0.952715
5230.00           0.970804
5232.00           0.980345
5234.00           0.991427
5236.00           1.008820
5238.00           1.024822
5240.00           1.017915
5242.00           0.995005
5244.00           0.971002
5246.00           0.949435
5248.00           0.950330
5250.00           0.976320
5252.00           1.016324
5254.00           1.032326
5256.00           1.014535
5258.00           0.979401
5260.00           0.941832
5262.00           0.905008
5264.00           0.888310
5266.00           0.896112
5268.00           0.919519
5270.00           0.946105
5272.00           0.970009
5274.00           0.995403
5276.00           1.002807
5278.00           0.997142
5280.00           0.996844
5282.00           1.014336
5284.00           1.031332
5286.00           1.039830
5288.00           1.038339
5290.00           1.031928
5292.00           1.020846
5294.00           1.008522
5296.00           1.007429
5298.00           1.021244
5300.00           1.029642
5302.00           1.028947
5304.00           1.028003
5306.00           1.036649
5308.00           1.045744
5310.00           1.039929
5312.00           1.030239
5314.00           1.021741
5316.00           1.017219
5318.00           1.012846
5320.00           1.002807
5322.00           0.981240
5324.00           0.954603
5326.00           0.942925
5328.00           0.958827
5330.00           0.990036
5332.00           1.014336
5334.00           1.018014
5336.00           1.005739
5338.00           0.989439
5340.00           0.979848
5342.00           0.984221
5344.00           1.002112
5346.00           1.020548
5348.00           1.026313
5350.00           1.026711
5352.00           1.030636
5354.00           1.040327
5356.00           1.042613
5358.00           1.037544
5360.00           1.028102
5362.00           1.013839
5364.00           0.990433
5366.00           0.970903
5368.00           0.973338
5370.00           1.001813
5372.00           1.024922
5374.00           1.028201
5376.00           1.015330
5378.00           1.005739
5380.00           1.000422
5382.00           0.998136
5384.00           1.001714
5386.00           1.008820
5388.00           1.005839
5390.00           0.990930
5392.00           0.975525
5394.00           0.970307
5396.00           0.975525
5398.00           0.974928
5400.00           0.959324
5402.00           0.944515
5404.00           0.943820
5406.00           0.965139
5408.00           0.994210
5410.00           1.017219
5412.00           1.025518
5414.00           1.014734
5416.00           1.003702
5418.00           1.004149
5420.00           1.009417
5422.00           1.001118
5424.00           0.994309
5426.00           0.990036
5428.00           0.985812
5430.00           0.980445
5432.00           0.990036
5434.00           1.020449
5436.00           1.043607
5438.00           1.039432
5440.00           1.017517
5442.00           0.999726
5444.00           0.997440
5446.00           0.996546
5448.00           0.976519
5450.00           0.937409
5452.00           0.908735
5454.00           0.935023
5456.00           1.010510
